    1.34 2.25E+0 2.25E+0
    1.35 2.22E+0 2.22E+0
    1.36 2.20E+0 2.20E+0
    1.37 2.17E+0 2.17E+0
    1.38 2.14E+0 2.14E+0
    1.39 2.12E+0 2.12E+0
    1.40 2.09E+0 2.09E+0
    1.41 2.06E+0 2.06E+0
    1.42 2.04E+0 2.04E+0
    1.43 2.02E+0 2.02E+0
    1.44 1.99E+0 1.99E+0
    1.45 1.97E+0 1.97E+0
    1.46 1.95E+0 1.95E+0
    1.47 1.92E+0 1.92E+0
    1.48 1.90E+0 1.90E+0
    1.49 1.88E+0 1.88E+0
    1.50 1.86E+0 1.86E+0
    1.51 1.84E+0 1.84E+0
    1.52 1.82E+0 1.82E+0
    1.53 1.80E+0 1.80E+0
    1.54 1.78E+0 1.78E+0
    1.55 1.76E+0 1.76E+0
    1.56 1.74E+0 1.74E+0
    1.57 1.72E+0 1.72E+0
    1.58 1.70E+0 1.70E+0
    1.59 1.68E+0 1.68E+0
    1.60 1.67E+0 1.67E+0
    1.61 1.65E+0 1.65E+0
    1.62 1.63E+0 1.63E+0
    1.63 1.61E+0 1.61E+0
    1.64 1.60E+0 1.60E+0
    1.65 1.58E+0 1.58E+0
    1.66 1.56E+0 1.56E+0
    1.67 1.55E+0 1.55E+0
    1.68 1.53E+0 1.53E+0
    1.69 1.52E+0 1.52E+0
    1.70 1.50E+0 1.50E+0
    1.71 1.49E+0 1.49E+0
    1.72 1.47E+0 1.47E+0
    1.73 1.46E+0 1.46E+0
    1.74 1.44E+0 1.44E+0
    1.75 1.43E+0 1.43E+0
    1.76 1.42E+0 1.42E+0
    1.77 1.40E+0 1.40E+0
    1.78 1.39E+0 1.39E+0
    1.79 1.38E+0 1.38E+0
    1.80 1.36E+0 1.36E+0
    1.81 1.35E+0 1.35E+0
    1.82 1.34E+0 1.34E+0
    1.83 1.33E+0 1.33E+0
    1.84 1.31E+0 1.31E+0
    1.85 1.30E+0 1.30E+0
    1.86 1.29E+0 1.29E+0
    1.87 1.28E+0 1.28E+0
    1.88 1.27E+0 1.27E+0
    1.89 1.25E+0 1.25E+0
    1.90 1.24E+0 1.24E+0
    1.91 1.23E+0 1.23E+0
    1.92 1.22E+0 1.22E+0
    1.93 1.21E+0 1.21E+0
    1.94 1.20E+0 1.20E+0
    1.95 1.19E+0 1.19E+0
    1.96 1.18E+0 1.18E+0
    1.97 1.17E+0 1.17E+0
    1.98 1.16E+0 1.16E+0
    1.99 1.15E+0 1.15E+0
    2.00 1.14E+0 1.14E+0
    2.01 1.13E+0 1.13E+0
    2.02 1.12E+0 1.12E+0
    2.03 1.11E+0 1.11E+0
    2.04 1.10E+0 1.10E+0
    2.05 1.09E+0 1.09E+0
    2.06 1.08E+0 1.08E+0
    2.07 1.08E+0 1.08E+0
    2.08 1.07E+0 1.07E+0
    2.09 1.06E+0 1.06E+0
    2.10 1.05E+0 1.05E+0
    2.11 1.04E+0 1.04E+0
    2.12 1.03E+0 1.03E+0
    2.13 1.02E+0 1.02E+0
    2.14 1.02E+0 1.02E+0
    2.15 1.01E+0 1.01E+0
    2.16 1.00E+0 1.00E+0
    2.17 9.92E-1 9.92E-1
    2.18 9.84E-1 9.84E-1
    2.19 9.77E-1 9.77E-1
    2.20 9.69E-1 9.69E-1
    2.21 9.62E-1 9.62E-1
    2.22 9.54E-1 9.54E-1
    2.23 9.47E-1 9.47E-1
    2.24 9.40E-1 9.40E-1
    2.25 9.33E-1 9.33E-1
    2.26 9.26E-1 9.26E-1
    2.27 9.19E-1 9.19E-1
    2.28 9.12E-1 9.12E-1
    2.29 9.05E-1 9.05E-1
    2.30 8.99E-1 8.99E-1
    3.55 6.30E-1 6.30E-1
    4.44 5.30E-1 5.30E-1
    5.19 4.13E-1 4.89E-1
    5.22 4.10E-1 4.87E-1
    5.25 4.08E-1 4.85E-1
    5.28 4.06E-1 4.83E-1
